nombre,apellido,rut,numero_telefono,is_active
Saitama,One,23.456.789-0,112233445,1
Luffy,Monkey,98.765.432-1,112233446,1
Naruto,Uzumaki,87.654.321-0,112233447,1
Goku,Kakarot,54.321.098-7,112233448,1
Vegeta,Prince,76.543.210-1,112233449,1
Ichigo,Kurosaki,10.987.654-3,112233450,1
Natsu,Dragneel,43.210.987-6,112233451,1
Edward,Elric,89.012.345-2,112233452,1
Lelouch,Lamperouge,21.098.765-4,112233453,1
Eren,Yeager,32.109.876-5,112233454,1
Naruto,Uzumaki,45.678.901-9,112233455,1
Gon,Freecss,67.890.123-8,112233456,1
Light,Yagami,56.789.012-3,112233457,1
Saitama,One,34.567.890-4,112233458,1
Luffy,Monkey,78.901.234-1,112233459,1
Naruto,Uzumaki,61.890.123-8,112233460,1
Goku,Kakarot,52.321.098-7,112233461,1
Vegeta,Prince,98.765.432-5,112233462,1
Ichigo,Kurosaki,45.678.901-3,112233463,1
Natsu,Dragneel,21.987.654-0,112233464,1
Edward,Elric,67.890.123-4,112233465,1
Lelouch,Lamperouge,89.012.345-6,112233466,1
Eren,Yeager,34.567.890-9,112233467,1
Naruto,Uzumaki,56.789.012-2,112233468,1
Gon,Freecss,43.210.987-8,112233469,1
Light,Yagami,12.345.678-0,112233470,1
Guts,Berserk,78.901.234-5,112233471,1
Killua,Zoldyck,32.109.876-1,112233472,1
L,Death Note,76.543.210-7,112233473,1
Levi,Ackerman,54.321.098-6,112233474,1
Mikasa,Ackerman,23.456.789-4,112233475,1
Kaneki,Ken,98.765.432-0,112233476,1
Tanjiro,Kamado,87.654.321-9,112233477,1
